DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON,crime_timestamp,Year,Wildfire Event
200121929,12/04/2020 12:00:00 AM,2020-12-03,2300,1,Central,105,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,400    SOLANO                       AV,,34.071,-118.2302,2020-12-03 23:00:00,2020,1
200218448,12/11/2020 12:00:00 AM,2020-12-10,2000,2,Rampart,271,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,900 S  ALVARADO                     ST,,34.0529,-118.2819,2020-12-10 20:00:00,2020,1
201225656,12/02/2020 12:00:00 AM,2020-12-02,2245,12,77th Street,1268,1,210,ROBBERY,0344 0305 0355,21,M,H,101.0,STREET,511.0,VERBAL THREAT,IC,Invest Cont,210.0,,,,SAN PEDRO,85TH                         ST,33.961,-118.2695,2020-12-02 22:45:00,2020,1
200716724,12/04/2020 12:00:00 AM,2020-12-03,811,7,Wilshire,722,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0104,19,M,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,442.0,,,,8400    BEVERLY                      BL,,34.0761,-118.3737,2020-12-03 08:11:00,2020,1
200918185,12/07/2020 12:00:00 AM,2020-12-07,1203,9,Van Nuys,935,2,900,VIOLATION OF COURT ORDER,2000 2038,52,F,W,725.0,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,AA,Adult Arrest,900.0,,,,6200    SYLMAR                       AV,,34.1837,-118.4465,2020-12-07 12:03:00,2020,1
200717189,12/16/2020 12:00:00 AM,2020-12-13,1500,7,Wilshire,765,1,330,BURGLARY FROM VEHICLE,1822 1300 0344 2019,43,F,B,102.0,SIDEWALK,,,IC,Invest Cont,330.0,,,,PICO                         BL,COCHRAN,34.0496,-118.3425,2020-12-13 15:00:00,2020,1
200817626,12/17/2020 12:00:00 AM,2020-12-16,1600,8,West LA,855,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1600 S  BENTLEY                      AV,,34.0484,-118.4437,2020-12-16 16:00:00,2020,1
200517895,12/16/2020 12:00:00 AM,2020-12-16,2125,5,Harbor,526,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0432 0443 0913,40,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,VERBAL THREAT,AO,Adult Other,930.0,,,,900 N  FRIES                        AV,,33.7815,-118.265,2020-12-16 21:25:00,2020,1
200321494,12/08/2020 12:00:00 AM,2020-12-07,1700,3,Southwest,315,1,330,BURGLARY FROM VEHICLE,1609 0344 1822,67,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,330.0,,,,W  24TH                         ST,ARLINGTON                    AV,34.0349,-118.3177,2020-12-07 17:00:00,2020,1
200122014,12/06/2020 12:00:00 AM,2020-12-06,1930,1,Central,162,2,624,BATTERY - SIMPLE ASSAULT,1822 0421 1218 0447 1202 2033 0910,66,F,W,801.0,MTA BUS,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624.0,,,,8TH                          ST,HILL                         ST,34.0452,-118.2569,2020-12-06 19:30:00,2020,1
